구,동,거래수
군위군,군위읍,6
남구,대명동,233
남구,봉덕동,307
남구,이천동,174
달서구,감삼동,368
달서구,대곡동,201
달서구,대천동,217
달서구,도원동,405
달서구,두류동,111
달서구,본동,140
달서구,본리동,302
달서구,상인동,541
달서구,성당동,108
달서구,송현동,95
달서구,신당동,101
달서구,용산동,688
달서구,월성동,762
달서구,유천동,648
달서구,이곡동,494
달서구,장기동,220
달서구,죽전동,41
달서구,진천동,307
달서구,파호동,73
달서구,호산동,49
달성군,가창면,19
달성군,구지면,254
달성군,논공읍,204
달성군,다사읍,1383
달성군,옥포읍,243
달성군,유가읍,537
달성군,현풍읍,151
달성군,화원읍,443
동구,각산동,231
동구,검사동,44
동구,괴전동,137
동구,대림동,18
동구,도동,12
동구,동호동,13
동구,방촌동,215
동구,봉무동,238
동구,불로동,43
동구,사복동,15
동구,서호동,7
동구,숙천동,8
동구,신기동,35
동구,신서동,289
동구,신암동,689
동구,신천동,674
동구,용계동,81
동구,율암동,22
동구,율하동,239
동구,입석동,12
동구,지묘동,163
동구,지저동,27
동구,효목동,189
북구,검단동,46
북구,고성동1가,49
북구,고성동2가,9
북구,고성동3가,111
북구,관음동,69
북구,구암동,410
북구,국우동,272
북구,금호동,1
북구,노원동1가,12
북구,노원동2가,15
북구,노원동3가,160
북구,대현동,178
북구,동변동,133
북구,동천동,426
북구,매천동,243
북구,복현동,362
북구,사수동,115
북구,산격동,97
북구,서변동,136
북구,연경동,111
북구,읍내동,238
북구,칠성동2가,349
북구,침산동,507
북구,태전동,401
북구,팔달동,46
북구,학정동,85
서구,내당동,191
서구,비산동,50
서구,원대동1가,1
서구,원대동2가,2
서구,원대동3가,22
서구,중리동,131
서구,평리동,343
수성구,노변동,62
수성구,두산동,91
수성구,만촌동,428
수성구,매호동,166
수성구,범물동,263
수성구,범어동,919
수성구,사월동,147
수성구,상동,80
수성구,수성동1가,182
수성구,수성동2가,3
수성구,수성동3가,74
수성구,수성동4가,249
수성구,시지동,204
수성구,신매동,270
수성구,욱수동,51
수성구,중동,216
수성구,지산동,279
수성구,파동,176
수성구,황금동,385
중구,계산동2가,2
중구,교동,21
중구,남산동,635
중구,달성동,33
중구,대봉동,259
중구,대신동,173
중구,도원동,4
중구,동산동,21
중구,동인동1가,3
중구,동인동3가,5
중구,동인동4가,10
중구,봉산동,9
중구,삼덕동2가,8
중구,삼덕동3가,58
중구,서성로1가,1
중구,수창동,172
중구,태평로1가,2
중구,태평로2가,10
중구,태평로3가,2
