시군구,번지,단지명,전용면적(㎡),계약년월,구,동
대구광역시 북구 침산동,1761,침산화성파크드림,84.9638,202412,북구,침산동
대구광역시 북구 침산동,372-3,대한동아무지개,84.74,202412,북구,침산동
대구광역시 동구 지묘동,215,팔공보성1차,59.85,202412,동구,지묘동
대구광역시 동구 지묘동,215,팔공보성1차,59.85,202412,동구,지묘동
대구광역시 중구 남산동,2434,송림맨션,59.99,202412,중구,남산동
대구광역시 북구 복현동,235-1,복현83시영,42.59,202412,북구,복현동
대구광역시 북구 국우동,1080,그린빌6단지,51.95,202412,북구,국우동
대구광역시 동구 신암동,480,신암청아람,84.542,202412,동구,신암동
대구광역시 동구 신암동,1852,동대구해모로스퀘어웨스트,76.7437,202412,동구,신암동
대구광역시 동구 신서동,823-7,신서그린빌,59.8231,202412,동구,신서동
대구광역시 동구 신서동,518-1,각산역더뉴클래스2차,21.2099,202412,동구,신서동
대구광역시 동구 신서동,755,신서동롯데캐슬레전드,84.951,202412,동구,신서동
대구광역시 북구 구암동,695,칠곡한라타운2,59.94,202412,북구,구암동
대구광역시 북구 구암동,695-1,칠곡동서영남,59.84,202412,북구,구암동
대구광역시 중구 동산동,916,청라언덕역서한포레스트,84.8493,202412,중구,동산동
대구광역시 북구 읍내동,1366-3,코스모스한양,59.82,202412,북구,읍내동
대구광역시 서구 평리동,1676,평리롯데캐슬,139.4864,202412,서구,평리동
대구광역시 동구 봉무동,1524,대구이시아폴리스더샵1차,122.735,202412,동구,봉무동
대구광역시 동구 신천동,1518,동대구역센트럴시티자이,84.7615,202412,동구,신천동
대구광역시 달서구 진천동,241-8,월배제니스,82.4286,202412,달서구,진천동
대구광역시 수성구 파동,53,수성못코오롱하늘채,59.9161,202412,수성구,파동
대구광역시 수성구 시지동,591,수성알파시티동화아이위시,84.9478,202412,수성구,시지동
대구광역시 달서구 용산동,416-5,성서청구타운,84.965,202412,달서구,용산동
대구광역시 북구 관음동,1370,칠곡한양2,84.945,202412,북구,관음동
대구광역시 달서구 이곡동,1191,성서보성화성타운,59.95,202412,달서구,이곡동
대구광역시 달서구 신당동,682-30,한화꿈에그린,114.4,202412,달서구,신당동
대구광역시 달서구 상인동,1592,시영장미4,49.8,202412,달서구,상인동
대구광역시 달서구 상인동,1592,시영장미4,49.8,202412,달서구,상인동
대구광역시 달서구 진천동,1월 15일,월배역포스코더샵,84.9624,202412,달서구,진천동
대구광역시 북구 연경동,987,연경동화아이위시,115.2692,202412,북구,연경동
대구광역시 달서구 감삼동,707,빌리브스카이주상복합,84.8866,202412,달서구,감삼동
대구광역시 북구 동천동,915,칠곡3화성타운,59.91,202412,북구,동천동
대구광역시 북구 연경동,987,연경동화아이위시,115.2692,202412,북구,연경동
대구광역시 수성구 파동,1000,수성아이파크,76.91,202412,수성구,파동
대구광역시 달성군 구지면 창리,1434,대구국가산단디에트르더센트럴,84.9164,202412,달성군,구지면
대구광역시 달서구 유천동,612,대구월배2차아이파크,84.2245,202412,달서구,유천동
대구광역시 달서구 유천동,612,대구월배2차아이파크,59.7326,202412,달서구,유천동
대구광역시 달성군 다사읍 매곡리,1568,죽곡삼정그린코아더베스트,66.0524,202412,달성군,다사읍
대구광역시 달성군 다사읍 죽곡리,822,죽곡푸르지오2단지,84.6141,202412,달성군,다사읍
대구광역시 달성군 다사읍 매곡리,1537,대실역청아람1단지,84.9851,202412,달성군,다사읍
대구광역시 달성군 옥포읍 본리리,2590,미진이지비아,84.9642,202412,달성군,옥포읍
대구광역시 달성군 구지면 창리,1434,대구국가산단디에트르더센트럴,84.9164,202412,달성군,구지면
대구광역시 달서구 유천동,612,대구월배2차아이파크,84.2245,202412,달서구,유천동
대구광역시 달성군 유가읍 봉리,603,진아리채,70.8694,202412,달성군,유가읍
대구광역시 달성군 다사읍 서재리,1125,에코폴리스동화아이위시2차,51.5729,202412,달성군,다사읍
대구광역시 달성군 화원읍 본리리,113-1,대구본리그린빌,84.62,202412,달성군,화원읍
대구광역시 달성군 다사읍 매곡리,1568,죽곡삼정그린코아더베스트,66.0524,202412,달성군,다사읍
대구광역시 달성군 유가읍 봉리,621,우미린더포레스트,75.579,202412,달성군,유가읍
대구광역시 달성군 옥포읍 교항리,2892,옥포이진캐스빌8단지,84.9962,202412,달성군,옥포읍
대구광역시 달성군 다사읍 서재리,146-7,서재우방타운,59.91,202412,달성군,다사읍
대구광역시 달성군 다사읍 서재리,1118,에코폴리스 동화아이위시,59.9943,202412,달성군,다사읍
대구광역시 달성군 다사읍 세천리,1566-3,세천삼정그린코아더베스트아파트1단지,75.5392,202412,달성군,다사읍
대구광역시 달성군 다사읍 세천리,1566-1,다사세천한라비발디,62.683,202412,달성군,다사읍
대구광역시 달성군 다사읍 죽곡리,152,강창태성그린시티,44.06,202412,달성군,다사읍
대구광역시 동구 대림동,885,대구혁신도시서한이다음3차,78.8497,202412,동구,대림동
대구광역시 북구 검단동,1128-3,민들레,59.94,202412,북구,검단동
대구광역시 북구 검단동,887-8,유성청구,47.85,202412,북구,검단동
대구광역시 북구 동변동,682,유니버시아드선수촌2단지,73.2815,202412,북구,동변동
대구광역시 동구 용계동,467-1,강변동서마을,59.91,202412,동구,용계동
대구광역시 서구 원대동3가,1649,서대구센트럴자이,74.7862,202412,서구,원대동3가
대구광역시 중구 수창동,173,대구역센트럴자이,84.6421,202412,중구,수창동
대구광역시 동구 신천동,551-23,신천가람타운,59.91,202412,동구,신천동
대구광역시 북구 칠성동2가,715,대구역 서희스타힐스,84.84,202412,북구,칠성동2가
대구광역시 북구 칠성동2가,723,칠성동코오롱하늘채,84.9778,202412,북구,칠성동2가
대구광역시 북구 칠성동2가,723,칠성동코오롱하늘채,84.9778,202412,북구,칠성동2가
대구광역시 동구 신암동,1887,동대구해모로스퀘어이스트,84.9402,202412,동구,신암동
대구광역시 동구 신암동,1840,동대구이안센트럴D,84.9886,202412,동구,신암동
대구광역시 중구 남산동,3012,남산역화성파크드림,74.2275,202412,중구,남산동
대구광역시 중구 남산동,3012,남산역화성파크드림,74.2275,202412,중구,남산동
대구광역시 중구 남산동,3020,남산롯데캐슬센트럴스카이,84.9532,202412,중구,남산동
